,Call  Failure,Complains,Subscription  Length,Charge  Amount,Seconds of Use,Frequency of use,Frequency of SMS,Distinct Called Numbers,Age Group,Tariff Plan,Status,Age,Customer Value,Churn
2590,20,0,29,0,1605,41,38,24,3,1,2,30,217.84,0
2593,11,0,27,3,4130,77,36,40,3,1,1,30,312.28,0
2599,12,1,11,4,2393,35,28,24,3,1,1,30,209.12,1
2607,14,0,39,1,8820,117,130,30,3,1,1,30,877.48,0
2608,8,0,40,0,13478,165,7,31,3,1,1,30,573.72,0
2609,8,0,40,0,4220,79,7,12,3,1,1,30,199.96,0
2614,10,0,39,0,15190,178,136,17,2,1,1,25,1303.56,0
2618,5,0,39,0,305,6,7,2,2,1,2,25,45.495,1
2621,9,0,39,0,6423,71,94,24,2,1,1,25,715.23,0
2622,24,0,35,0,660,43,7,4,3,1,2,30,56.12,1
2624,14,0,38,0,5523,94,12,11,2,1,1,25,306.765,1
2626,10,0,37,0,2695,37,7,3,3,1,2,30,137.28,1
2627,10,0,38,0,1973,40,20,18,3,1,2,30,160.52,1
2628,5,1,38,0,305,6,7,2,3,1,2,30,40.44,1
2631,5,0,38,0,305,6,7,2,4,1,2,45,25.275,1
2632,5,0,38,0,305,6,7,2,5,1,1,55,15.165,0
2633,26,0,33,2,15780,234,7,67,2,1,1,25,752.13,0
2635,5,0,38,0,3423,78,7,15,3,1,1,30,168.04,0
2642,11,0,27,1,930,28,7,2,2,1,1,25,74.61,0
2649,5,1,11,1,1193,15,7,2,3,1,1,30,76.32,1
2654,8,0,41,2,2813,70,41,39,2,1,1,25,314.235,0
2655,16,0,41,3,4195,94,71,34,3,1,1,30,455.56,0
2667,7,0,41,0,1130,26,52,14,3,1,2,30,254.24,0
2668,5,0,40,0,420,12,39,6,3,1,2,30,173.28,1
2672,28,1,36,0,1375,59,55,23,3,1,2,30,277.36,1
2676,14,0,38,0,3410,53,48,22,3,1,2,30,330.52,1
2677,14,1,39,0,2688,56,73,37,4,1,2,45,251.1,1
2678,5,0,39,0,553,14,39,8,3,1,2,30,178.68,1
2680,8,0,36,3,7205,109,53,28,5,1,1,55,189.21,0
2681,5,0,39,0,1048,19,48,10,4,1,2,45,146.675,1
2696,17,0,18,2,9353,183,112,46,5,1,1,55,311.04,0
2698,7,0,12,3,4810,52,254,16,3,1,1,30,1210.48,0
2699,8,1,12,3,1908,31,39,13,3,1,1,30,233.56,1
2701,5,0,40,0,305,6,7,2,2,1,2,25,45.495,0
2703,15,0,39,0,4388,66,7,33,1,1,1,15,283.47,0
2712,30,0,39,3,15330,225,29,30,3,1,1,30,738.2,0
2718,5,0,38,0,305,6,7,2,2,1,2,25,45.495,1
2722,28,1,34,0,1145,47,7,15,2,1,2,25,85.14,1
2724,18,0,37,1,6008,98,7,22,2,1,1,25,306.27,1
2726,14,0,36,0,3180,41,7,14,3,1,2,30,156.84,1
2727,14,0,37,0,2458,44,9,29,3,1,2,30,136.08,1
2728,5,1,37,0,305,6,7,2,3,1,2,30,40.44,1
2731,5,0,37,0,818,7,7,2,4,1,2,45,38.125,1
2740,16,0,28,0,890,25,7,5,2,1,2,25,72.675,0
2743,7,0,26,0,3415,61,7,21,3,1,1,30,167.04,0
2745,21,0,18,1,6583,141,60,40,1,2,1,15,699.82,0
2749,8,0,10,1,1678,19,7,5,3,1,1,30,95.88,1
2754,10,0,40,1,2888,65,18,38,2,1,1,25,213.885,0
2768,7,0,39,0,495,7,16,5,2,1,2,25,94.59,1
2772,30,1,35,0,1450,54,32,22,3,1,2,30,188.16,1
2776,16,1,37,0,3485,48,25,21,3,1,2,30,241.32,1
2777,16,1,38,0,2763,51,50,36,4,1,2,45,195.35,1
2778,7,0,38,0,628,9,16,7,3,1,2,30,89.48,1
2781,7,0,38,0,1123,14,25,9,4,1,2,45,90.925,1
2782,7,0,38,2,833,11,20,7,5,1,1,55,42.66,0
2796,19,0,17,1,9427,178,89,45,5,1,1,55,277.575,0
2799,10,1,11,2,1982,26,16,12,3,1,1,30,144.32,1
2801,3,0,41,0,433,10,5,3,3,1,2,30,37.72,0
2808,10,0,40,1,13888,174,0,43,3,1,1,30,562.48,0
2809,10,0,40,2,4630,88,0,24,3,1,1,30,188.72,0
2815,6,0,39,2,6615,91,184,25,3,1,1,30,1004.24,0
2817,5,0,40,0,825,19,11,7,3,1,2,30,77.76,0
2818,0,0,39,0,0,0,0,0,2,1,2,25,0.0,1
2819,6,0,39,1,7623,132,382,42,3,1,1,30,1838.2,0
2822,26,1,35,0,1070,52,14,16,3,1,2,30,100.88,1
2826,12,0,37,0,3105,46,7,15,3,1,2,30,154.04,1
2827,12,0,38,0,2383,49,32,30,4,1,2,45,140.8,1
2828,3,0,38,0,248,7,0,1,3,1,2,30,10.2,1
2831,3,0,38,0,743,12,7,3,4,1,2,45,36.375,1
2849,6,1,11,2,1602,24,0,6,3,1,1,30,65.04,1
2853,13,0,35,0,4503,66,0,36,1,1,1,15,251.295,0
2854,6,0,35,0,2698,58,1,34,1,1,1,15,157.08,0
2855,14,0,35,1,4080,82,31,29,3,1,1,30,290.48,0
2857,16,0,34,2,9420,121,143,44,3,1,1,30,953.64,0
2861,12,0,35,0,2543,54,7,18,3,1,2,30,131.88,0
2865,6,0,34,1,6805,86,185,27,3,1,1,30,1015.64,0
2868,0,0,34,0,0,0,0,0,2,1,2,25,0.0,1
2872,26,1,30,0,1260,47,15,18,2,1,2,25,126.315,1
2873,24,0,33,8,10740,93,0,43,4,1,1,45,270.825,0
2874,16,0,33,1,6123,98,25,25,2,1,1,25,392.445,1
2876,12,1,32,0,3295,41,8,17,3,1,2,30,165.44,1
2877,12,0,33,0,2573,44,33,32,3,1,2,30,236.68,1
2878,3,0,33,0,438,2,0,3,3,1,2,30,17.6,1
2879,4,0,33,0,1973,25,0,7,3,1,1,30,79.92,0
2881,3,0,33,0,933,7,8,5,4,1,2,45,43.5,1
2886,6,0,32,0,1970,44,37,21,3,1,2,30,228.56,0
2892,13,0,22,0,1530,32,18,14,2,1,1,25,151.29,0
2895,19,0,14,1,6697,141,84,43,1,2,1,15,838.09,0
2899,6,0,6,1,1792,19,0,8,3,1,1,30,72.44,1
2909,14,0,45,3,4820,95,17,28,4,1,1,45,165.375,0
2912,32,0,45,5,15445,237,69,35,3,2,1,30,903.28,0
2916,7,0,44,0,1180,26,15,14,3,1,2,30,108.24,0
2918,7,0,44,0,305,12,15,3,3,1,2,30,72.68,1
2922,30,1,40,0,1260,59,31,20,3,1,2,30,176.76,1
2926,16,1,42,0,3295,53,24,19,3,1,2,30,229.92,1
2927,16,1,43,0,2573,56,49,34,4,1,2,45,188.225,1
2928,7,0,43,0,438,14,15,5,3,1,2,30,78.08,1
2931,7,0,43,0,933,19,24,7,4,1,2,45,83.8,1
2937,13,0,43,2,3085,65,190,26,3,1,1,30,886.0,0
2940,18,0,34,0,1005,37,25,10,3,1,2,30,141.68,0
2942,17,0,32,2,1530,44,34,16,2,1,1,25,223.83,0
2946,19,0,22,2,9237,183,88,43,5,1,1,55,273.3,0
2949,10,0,16,3,1792,31,15,10,3,1,1,30,132.92,1
2955,22,0,41,3,4790,99,47,30,3,1,1,30,383.56,0
2957,24,0,40,4,10130,138,159,45,3,1,1,30,1046.72,0
2962,36,0,41,5,16155,242,69,34,3,2,1,30,931.88,0
2963,15,0,41,3,4110,44,498,10,4,1,1,45,1348.85,0
2968,11,0,40,0,1015,17,15,2,3,1,2,30,101.28,1
2969,14,0,40,2,8523,144,399,45,3,1,1,30,1942.68,0
2972,34,1,36,0,1970,64,31,19,3,2,2,30,205.36,1
2973,32,0,39,10,11450,110,16,44,5,1,1,55,197.4,0
2976,20,1,38,0,4005,58,24,18,3,1,2,30,258.52,1
2977,20,1,39,0,3283,61,49,33,4,1,2,45,206.1,1
2978,11,0,39,0,1148,19,15,4,3,1,2,30,106.68,1
2981,11,0,39,0,1643,24,24,6,4,1,2,45,101.675,1
2983,36,0,34,5,17090,255,15,82,2,2,1,25,848.025,0
2985,13,0,39,2,4733,99,17,30,3,1,1,30,261.28,0
2990,22,1,30,0,1715,42,25,9,3,1,2,30,170.28,1
2993,13,0,28,2,4240,78,23,25,3,1,1,30,264.72,0
2999,14,1,12,3,2502,36,15,9,3,1,1,30,161.52,1
3003,9,0,39,0,3793,61,0,37,1,1,1,15,211.97,0
3005,10,0,39,1,3370,77,14,30,3,1,1,30,193.88,0
3018,0,0,38,0,0,0,0,0,2,1,2,25,0.0,1
3022,22,0,34,0,550,42,0,19,3,1,2,30,23.68,1
3024,12,0,37,1,5413,93,8,26,2,1,1,25,283.77,1
3026,8,1,36,0,2585,36,0,18,3,1,2,30,104.84,1
3027,8,0,37,0,1863,39,16,33,3,1,2,30,140.08,1
3028,0,0,37,0,0,0,0,0,3,1,2,30,0.0,1
3030,2,0,34,1,6380,92,0,24,5,1,1,55,97.08,0
3031,0,0,37,0,223,2,0,6,4,1,2,45,5.625,1
3041,0,0,27,0,420,5,3,5,4,1,2,45,18.125,0
3049,2,1,10,1,1082,14,0,9,3,1,1,30,43.84,1
3053,15,0,40,1,4503,72,8,37,1,1,1,15,295.625,0
3055,16,0,40,2,4080,88,39,30,3,1,1,30,322.72,0
3066,5,0,39,0,1180,20,7,13,2,1,2,25,85.5,0
3068,5,0,39,0,305,6,7,2,2,1,2,25,45.495,1
3072,28,1,35,0,1260,53,23,19,3,1,2,30,144.52,1
3074,18,0,38,2,6123,104,33,26,2,1,1,25,428.715,0
3076,14,1,37,0,3295,47,16,18,3,1,2,30,197.68,1
3077,14,0,38,0,2573,50,41,33,4,1,2,45,168.075,1
3078,5,0,38,0,438,8,7,4,3,1,2,30,45.84,1
3079,6,0,38,1,1973,31,7,8,4,1,1,45,67.6,0
3081,5,0,38,0,933,13,16,6,4,1,2,45,63.65,1
3086,8,0,37,0,1970,50,45,22,3,1,2,30,260.8,0
3094,7,0,20,1,2000,32,35,16,3,1,1,30,221.28,0
3095,21,0,19,2,6697,147,92,44,2,2,1,25,721.98,0
3099,8,1,11,2,1792,25,7,9,3,1,1,30,100.68,1
3106,9,0,40,1,2665,45,292,20,3,1,1,30,1276.4,0
3112,30,0,40,4,15445,231,61,34,3,2,1,30,871.04,0
3118,5,0,39,0,305,6,7,2,2,1,2,25,45.495,1
3120,12,0,39,2,11770,160,18,49,4,1,1,45,343.25,0
3121,13,0,39,2,7023,81,115,39,2,1,1,25,837.18,0
3122,28,1,35,0,1260,53,23,19,3,1,2,30,144.52,1
3126,14,1,37,0,3295,47,16,18,3,1,2,30,197.68,1
3127,14,1,38,0,2573,50,41,33,4,1,2,45,168.075,1
3128,5,0,38,0,438,8,7,4,3,1,2,30,45.84,1
3131,5,1,38,0,933,13,16,6,4,1,2,45,63.65,1
3132,5,0,38,2,643,10,11,4,5,1,1,55,26.295,0
3147,13,0,18,4,3157,51,38,21,3,1,1,30,280.32,0
3148,7,0,11,2,4695,46,222,12,3,1,1,30,1077.64,0
3149,8,1,11,2,1792,25,7,9,3,1,1,30,100.68,1
